timestamp,cpuLoad,systemLoadAvg,commitedHeap,systemLoad,threads,users,totalRequests,rejections,requests,hits,hits_last_min,bw,netdata_STATS_GNODEB_bps_average
1665153154.28947,0.04559990524695014,0.37,88.5,0.04370484424967428,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2900787,['192.168.22.212'],133,2990494,232,14.253009541829426,16151603.066666668
1665153214.4647768,0.04520838238756769,0.17,88.5,0.04343731606827546,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2900922,['192.168.22.212'],135,2990740,248,15.4080810546875,17189990.04444443
1665153274.5993497,0.041720379702332125,0.19,88.5,0.04031407476854565,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2901045,['192.168.22.212'],123,2990964,234,15.085301208496094,16116749.555555532
1665153334.796254,0.04014403841024273,0.27,88.5,0.04561216324353161,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2901168,['192.168.22.212'],123,2991186,222,14.418850199381511,16163220.577777801
1665153395.0057044,0.03804347826086957,0.32,88.5,0.036887141535615176,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2901287,['192.168.22.212'],119,2991400,220,15.184971618652344,16309762.977777766
1665153455.1730127,0.04068965517241379,0.24,88.5,0.03977011494252874,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2901407,['192.168.22.212'],120,2991618,216,14.125193786621093,15853529.800000003
1665153515.340333,0.04069501600365798,0.37,88.5,0.053389733622956445,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2901531,['192.168.22.212'],124,2991842,218,14.214195760091146,15913711.766666675
1665153575.498825,0.040769843981323314,0.23,88.5,0.038606081311923474,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2901653,['192.168.22.212'],122,2992064,224,14.132550048828126,15651203.08333335
1665153635.688314,0.039978390059427334,0.33,88.5,0.05240410588870881,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2901775,['192.168.22.212'],122,2992286,222,14.284997049967448,15467755.666666673
1665153695.9035897,0.037761294672960216,0.17,88.5,0.035513598561474485,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2901890,['192.168.22.212'],115,2992494,212,13.50194854736328,14504623.233333323
