timestamp,cpuLoad,systemLoadAvg,commitedHeap,systemLoad,threads,users,totalRequests,rejections,requests,hits,hits_last_min,bw
1664084341.9566808,0.1748354693453412,0.82,88,0.16463150601887935,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1434546,['192.168.22.212'],617,1366934,592,5.003176752726237
1664084402.0704632,0.1697738650094942,1.05,88,0.1610425476827479,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1435171,['192.168.22.212'],618,1367532,588,5.058232053120931
1664084462.2546792,0.17087845968712395,0.82,88,0.16211105380780472,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1435789,['192.168.22.212'],624,1368120,596,5.08579273223877
1664084522.4047267,0.17064509765239694,0.98,88,0.25882817123693036,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1436420,['192.168.22.212'],614,1368722,584,5.058278783162435
1664084582.546165,0.17098179953857987,0.88,88,0.1621806374433906,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1437041,['192.168.22.212'],631,1369316,604,5.128053410847982
1664084642.692735,0.17233444131935566,0.84,88,0.16304440467058723,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1437660,['192.168.22.212'],618,1369906,588,5.055984369913737
1664084702.8196456,0.17320484393655125,0.61,88,0.16220365000852807,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1438280,['192.168.22.212'],618,1370498,590,5.044773292541504
1664084762.9812353,0.1681926076636148,0.65,88,0.15955913522679102,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1438899,['192.168.22.212'],619,1371088,590,5.078107198079427
1664084823.0925744,0.16911952360697574,0.48,88,0.15789025946405785,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1439507,['192.168.22.212'],618,1371667,590,5.013041814168294
1664084883.236087,0.16950555949846227,0.82,88,0.2208422048734327,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1440127,['192.168.22.212'],606,1372260,577,4.954415512084961
1664084943.3747623,0.17658981504940463,0.6,88,0.1662866311966895,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1440754,['192.168.22.212'],615,1372858,587,5.043148295084635
1664085003.5101547,0.1774709547061795,0.75,88,0.16719986529718808,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1441387,['192.168.22.212'],628,1373462,598,5.115807851155599
